player_name,team_name,position,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards
Declan Rice,Arsenal,M,41,28.08219178,459,72,48.64864865,891,687,1578,87.8130217,44,72.13114754,17,30,5,154,14,3,10,10,65,15,12,77,1,0,6.0731214,2.8732,20,0,11.11111111,4,9,21,15,6,3,1,,77,56.20437956,1,0,0,219,30,59,0,29,2585,1,0,1,0,0,0,0,0,0,0,406,11,0,7.49,0,3,0,0,0,0,0,646.25,0,5,13,23,14,12,12,48,57,31,54.38596491,58,25,146,121,61.11111111,148,1054,743,1797,36,3,2327,8,2
Gabriel Magalhães,Arsenal,D,1,20,180,63,46.32352941,512,747,1259,88.72445384,87,66.92307692,43,25,4,46,5,3,6,13,149,2,4,62,1,2,1.73381605,1.8798,14,0,16.66666667,3,7,15,10,5,3,0,,60,75.94936709,1,0,1,160,18,6,2,24,2166,0,0,0,0,0,0,0,0,0,0,181,2,0,7.368,0,0,0,0,0,0,0,722,0,0,14,4,7,5,1,50,32,16,50,6,2,5,147,70.33492823,136,622,797,1419,18,5,1747,27,3
Bukayo Saka,Arsenal,F,36,32.43243243,300,14,36.84210526,419,105,524,76.72035139,22,44.89795918,27,27,3,105,9,8,22,7,10,29,15,140,0,1,5.76195133,6.9941,28,0,9.523809524,6,9,16,11,5,6,0,,136,54.6184739,1,0,1,159,14,54,3,22,2001,14,0,2,1,0,100,0,1,0,0,362,25,0,7.214814815,0,2,0,0,0,0,0,333.5,0,2,47,16,15,26,49,53.26086957,36,17,47.22222222,52,92,111,158,53.02013423,38,557,126,683,63,4,1236,51,1
Martín Zubimendi,Arsenal,M,2,18.18181818,369,48,49.48453608,833,661,1494,88.19362456,59,68.60465116,27,31,1,99,1,2,7,10,64,9,17,84,2,2,2.18562559,2.7812,27,0,19.23076923,5,6,20,15,5,3,2,,68,54.4,2,0,2,200,34,16,0,30,2604,0,0,0,0,0,0,0,0,0,0,258,6,0,7.087096774,0,3,0,0,0,0,0,520.8,0,0,19,7,10,9,6,50,54,30,55.55555556,16,12,11,127,60.18957346,97,985,709,1694,26,2,2026,10,4
Max Dowman,Arsenal,M,0,0,9,0,0,13,3,16,94.11764706,0,0,0,3,0,5,0,0,1,0,0,3,2,12,0,0,0.04663363,1.1064,0,0,20,1,1,0,0,0,1,0,,9,42.85714286,0,0,0,1,0,2,1,0,52,0,0,0,0,0,0,0,0,0,1,15,1,0,7.066666667,0,0,0,0,0,0,0,52,0,0,4,1,3,1,3,30,2,2,100,2,10,1,9,42.85714286,0,14,3,17,5,0,51,4,0
Martin Ødegaard,Arsenal,M,5,25,228,32,56.14035088,373,164,537,85.10301109,2,28.57142857,5,20,5,51,5,0,4,2,6,10,10,43,0,1,2.92470393,1.0108,7,0,5,1,6,11,8,3,0,1,,33,46.47887324,0,0,0,94,7,31,1,13,1078,2,0,1,0,0,0,0,0,0,0,148,14,0,6.995,0,0,0,0,0,0,0,1078,0,0,9,11,9,7,9,45,17,6,35.29411765,30,20,20,35,44.87179487,57,455,176,631,20,2,770,7,0
Eberechi Eze,Arsenal,F,2,18.18181818,184,13,39.39393939,303,134,437,84.20038536,8,26.66666667,22,26,2,61,4,1,19,2,10,16,4,73,0,0,2.23044189,3.7507,16,0,12.24489796,6,8,10,7,3,6,0,,69,57.5,0,0,0,82,8,13,1,17,1504,1,0,0,0,0,0,0,0,0,0,149,15,0,6.992307692,0,5,0,0,0,0,0,250.6666667,0,0,29,20,14,16,23,57.5,16,12,75,13,40,11,77,51.33333333,33,372,147,519,49,2,760,30,1
William Saliba,Arsenal,D,4,44.44444444,221,44,48.35164835,589,1034,1623,92.68989149,60,54.05405405,51,25,0,96,0,2,1,11,102,6,6,83,0,2,0.90453671,0.8575,17,0,20,1,1,16,11,5,1,0,,48,60,1,0,0,128,14,7,0,24,2075,1,0,0,0,0,0,0,0,0,0,156,2,0,6.991666667,0,0,0,0,0,0,0,2075,0,0,5,0,3,1,4,57.14285714,29,17,58.62068966,7,7,9,108,56.54450262,91,674,1077,1751,5,0,1990,15,1
David Raya,Arsenal,G,0,0,72,163,35.28138528,133,471,604,66.51982379,7,87.5,1,31,0,258,0,0,0,15,30,0,0,1,1,3,0.10104617,,0,0,0,0,0,22,16,6,0,0,-0.8838,11,100,0,29,0,304,1,3,0,31,2790,0,0,0,0,0,0,0,0,0,0,312,0,8,6.929032258,0,0,36,13,50,0,10,0,0,0,0,0,0,0,1,100,1,1,100,3,1,0,18,94.73684211,462,403,505,908,0,2,1197,9,1
Piero Hincapié,Arsenal,D,4,14.28571429,146,20,35.71428571,324,338,662,89.21832884,30,51.72413793,28,21,2,55,2,0,1,3,75,4,11,62,0,0,1.34832156,0.3286,16,0,50,1,3,16,12,4,1,0,,55,61.79775281,0,0,0,80,20,12,1,17,1504,0,1,0,0,0,0,0,0,0,0,146,3,0,6.919047619,0,0,0,0,0,0,0,1504,0,0,1,1,0,1,5,45.45454545,39,21,53.84615385,12,11,28,85,57.82312925,56,378,364,742,2,1,1091,12,2
Cristhian Mosquera,Arsenal,D,0,0,62,6,37.5,151,254,405,91.21621622,11,37.93103448,18,14,0,23,0,0,0,1,32,0,3,30,0,1,0.49156338,,8,0,0,0,0,5,4,1,0,0,,26,68.42105263,0,0,0,39,8,3,0,6,678,1,0,0,0,0,0,0,0,0,0,49,0,0,6.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,65.2173913,3,1,0,37,55.2238806,16,169,275,444,0,0,546,3,2
